Date,Price,open,high,low,volume,Change %,close
2015-09-23,30543.17,30426.78,30560.93,30425.31,466940000.0,0.0038,30543.17
2016-08-30,27493.12,27368.41,27517.13,27364.18,230130000.0,0.0046,27493.12
2016-08-31,27599.03,27493.12,27612.13,27487.2,262610000.0,0.0039000000000000003,27599.03
2016-09-01,28419.92,27599.03,28421.27,27599.03,229230000.0,0.0297,28419.92
2016-09-02,27756.67,28419.92,28488.0,27744.76,309450000.0,-0.0233,27756.67
2016-09-05,27707.12,27756.67,27786.75,27679.42,195020000.0,-0.0018,27707.12
2016-09-06,27503.81,27707.12,27707.12,27503.81,176770000.0,-0.0073,27503.81
2016-09-07,27522.62,27503.75,27528.97,27365.77,295660000.0,0.0007000000000000001,27522.62
2016-09-08,27574.09,27522.62,27574.77,27445.4,242740000.0,0.0019,27574.09
2016-09-09,27577.52,27574.09,27611.31,27557.65,272850000.0,0.0001,27577.52
2016-09-14,27642.13,27577.52,27642.13,27541.48,182300000.0,0.0023,27642.13
2016-09-15,27725.4,27642.13,27748.04,27633.38,200290000.0,0.003,27725.4
2016-09-16,27858.48,27725.4,27858.56,27661.62,228930000.0,0.0048,27858.48
2016-09-19,27839.93,27858.48,28049.07,27811.15,328200000.0,-0.0007000000000000001,27839.93
2016-09-20,28209.93,27839.93,28225.53,27839.09,231460000.0,0.013300000000000001,28209.93
2016-09-21,28214.57,28209.93,28239.64,28161.91,225100000.0,0.0002,28214.57
2016-09-22,28166.42,28214.57,28292.01,28137.67,410060000.0,-0.0017000000000000001,28166.42
2016-09-23,28247.11,28166.42,28303.44,28140.14,265070000.0,0.0029,28247.11
2016-09-26,28263.16,28247.07,28290.24,28238.96,249770000.0,0.0006,28263.16
2016-09-27,28248.86,28263.16,28269.07,28174.07,294910000.0,-0.0005,28248.86
2016-09-28,28236.23,28248.86,28252.97,28161.95,159050000.0,-0.0004,28236.23
2016-09-29,28247.56,28236.23,28299.24,28168.85,170370000.0,0.0004,28247.56
2016-09-30,28335.4,28247.56,28335.4,27907.57,217810000.0,0.0031,28335.4
2016-10-04,28283.99,28335.4,28346.0,28217.85,198100000.0,-0.0018,28283.99
2016-10-05,28009.4,28277.93,28282.16,27981.39,187160000.0,-0.0097,28009.4
2016-10-06,28026.59,28009.4,28065.18,27936.56,348800000.0,0.0006,28026.59
2016-10-07,27835.22,28031.9,28043.08,27812.39,200840000.0,-0.0068000000000000005,27835.22
2016-10-10,27925.35,27835.22,27953.31,27808.88,171460000.0,0.0032,27925.35
2016-10-11,28034.32,27925.0,28060.76,27901.45,234190000.0,0.0039000000000000003,28034.32
2016-10-12,28027.23,28034.32,28058.03,27921.68,155580000.0,-0.0003,28027.23
2016-10-13,27854.78,28027.23,28030.72,27803.76,380750000.0,-0.0062,27854.78
2016-10-14,27861.03,27854.78,28264.33,27821.27,220850000.0,0.0002,27861.03
2016-10-17,27634.99,27861.03,27867.5,27631.05,255810000.0,-0.008100000000000001,27634.99
2016-10-18,27555.31,27634.99,27678.2,27555.31,154110000.0,-0.0029,27555.31
2016-10-19,27478.04,27555.31,27557.14,27460.67,75010000.0,-0.0028000000000000004,27478.04
2016-10-20,27598.34,27478.04,27720.3,27478.04,111900000.0,0.0044,27598.34
2016-10-21,27596.82,27598.34,27627.63,27573.06,70940000.0,-0.0001,27596.82
2016-10-24,27575.03,27596.82,27630.83,27567.48,101180000.0,-0.0008,27575.03
2016-10-25,27098.52,27575.07,27588.24,27093.23,112430000.0,-0.0173,27098.52
2016-10-26,27120.39,27098.52,27121.77,27007.21,159990000.0,0.0008,27120.39
2016-10-27,27236.78,27120.39,27242.02,27080.2,155590000.0,0.0043,27236.78
2016-10-28,27294.21,27236.78,27296.32,27192.46,148450000.0,0.0021,27294.21
2016-10-31,27220.09,27294.21,27317.1,27215.56,219900000.0,-0.0027,27220.09
2016-11-01,27252.48,27219.69,27277.25,27196.56,186860000.0,0.0012,27252.48
2016-11-02,27223.08,27252.48,27309.0,27211.28,202700000.0,-0.0011,27223.08
2016-11-03,27044.36,27223.08,27592.42,27031.6,112520000.0,-0.0066,27044.36
2016-11-04,26981.6,27044.36,27044.36,26896.11,151850000.0,-0.0023,26981.6
2016-11-07,26887.54,26981.6,26982.08,26872.46,115040000.0,-0.0034999999999999996,26887.54
2016-11-08,26364.27,26884.58,26887.88,26331.97,189010000.0,-0.0195,26364.27
2016-11-09,26173.69,26364.27,26371.37,26083.76,146110000.0,-0.0072,26173.69
2016-11-10,26221.75,26173.69,26327.35,26142.94,137640000.0,0.0018,26221.75
2016-11-11,26170.88,26221.75,26278.62,26137.33,199920000.0,-0.0019,26170.88
2016-11-14,25986.81,26170.88,26239.39,25973.27,160910000.0,-0.006999999999999999,25986.81
2016-11-15,25857.06,25986.81,26027.55,25795.52,189730000.0,-0.005,25857.06
2016-11-16,25653.14,25857.06,25857.86,25632.09,145740000.0,-0.0079,25653.14
2016-11-17,25599.79,25653.14,25661.4,25595.39,161590000.0,-0.0021,25599.79
2016-11-18,25537.54,25599.79,25609.33,25527.83,165580000.0,-0.0024,25537.54
