,Date,Price,Open,High,Low,Vol.,Change %,Close,rsi,rsi at 70,rsi at 30,rsi at 50,buy,sell,Stop_loss,Profit,future_returns
0,23/09/2015,"30,543.17","30,426.78","30,560.93","30,425.31",466.94M,0.38%,30543.17,,70,30,50,,,,,0.029743436635273124
1,30/08/2016,"27,493.12","27,368.41","27,517.13","27,364.18",230.13M,0.46%,27493.12,,70,30,50,,,,,-0.023337504116830776
2,31/08/2016,"27,599.03","27,493.12","27,612.13","27,487.20",262.61M,0.39%,27599.03,,70,30,50,,,,,-0.001785156504724772
3,01/09/2016,"28,419.92","27,599.03","28,421.27","27,599.03",229.23M,2.97%,28419.92,,70,30,50,,,,,-0.007337825078896576
4,02/09/2016,"27,756.67","28,419.92","28,488.00","27,744.76",309.45M,-2.33%,27756.67,,70,30,50,,,,,0.0006839052480365204
5,05/09/2016,"27,707.12","27,756.67","27,786.75","27,679.42",195.02M,-0.18%,27707.12,,70,30,50,,,,,0.001870098122925823
6,06/09/2016,"27,503.81","27,707.12","27,707.12","27,503.81",176.77M,-0.73%,27503.81,,70,30,50,,,,,0.00012439213769166457
7,07/09/2016,"27,522.62","27,503.75","27,528.97","27,365.77",295.66M,0.07%,27522.62,,70,30,50,,,,,0.0023428502635480797
8,08/09/2016,"27,574.09","27,522.62","27,574.77","27,445.40",242.74M,0.19%,27574.09,,70,30,50,,,,,0.003012430662904686
9,09/09/2016,"27,577.52","27,574.09","27,611.31","27,557.65",272.85M,0.01%,27577.52,,70,30,50,,,,,0.0047999307494210885
10,14/09/2016,"27,642.13","27,577.52","27,642.13","27,541.48",182.30M,0.23%,27642.13,21.169960725700022,70,30,50,,,,,-0.0006658654743546544
11,15/09/2016,"27,725.40","27,642.13","27,748.04","27,633.38",200.29M,0.30%,27725.4,22.593421291740388,70,30,50,,,,,0.013290263301667826
12,16/09/2016,"27,858.48","27,725.40","27,858.56","27,661.62",228.93M,0.48%,27858.48,24.998371605392546,70,30,50,,,,,0.00016448108875133371
13,19/09/2016,"27,839.93","27,858.48","28,049.07","27,811.15",328.20M,-0.07%,27839.93,24.878657921123576,70,30,50,,,,,-0.0017065650832176482
14,20/09/2016,"28,209.93","27,839.93","28,225.53","27,839.09",231.46M,1.33%,28209.93,32.08647340971683,70,30,50,,,,,0.002864758815639412
15,21/09/2016,"28,214.57","28,209.93","28,239.64","28,161.91",225.10M,0.02%,28214.57,32.17714894159882,70,30,50,,,,,0.0005681997202544586
16,22/09/2016,"28,166.42","28,214.57","28,292.01","28,137.67",410.06M,-0.17%,28166.42,31.689303419400584,70,30,50,,,,,-0.0005059589939695464
17,23/09/2016,"28,247.11","28,166.42","28,303.44","28,140.14",265.07M,0.29%,28247.11,33.5647901173736,70,30,50,,,,,-0.0004470976881899569
18,26/09/2016,"28,263.16","28,247.07","28,290.24","28,238.96",249.77M,0.06%,28263.16,33.96548067381197,70,30,50,,,,,0.0004012575333181001
19,27/09/2016,"28,248.86","28,263.16","28,269.07","28,174.07",294.91M,-0.05%,28248.86,33.763884773305236,70,30,50,,,,,0.0031096491165962803
20,28/09/2016,"28,236.23","28,248.86","28,252.97","28,161.95",159.05M,-0.04%,28236.23,33.56836131234617,70,30,50,,,,,-0.0018143382482689319
21,29/09/2016,"28,247.56","28,236.23","28,299.24","28,168.85",170.37M,0.04%,28247.56,33.949607857529,70,30,50,,,,,-0.009708319087936346
22,30/09/2016,"28,335.40","28,247.56","28,335.40","27,907.57",217.81M,0.31%,28335.4,37.06110886813415,70,30,50,,,,,0.0006137225360056675
23,04/10/2016,"28,283.99","28,335.40","28,346.00","28,217.85",198.10M,-0.18%,28283.99,35.95951591280108,70,30,50,,,,,-0.006828158545152951
24,05/10/2016,"28,009.40","28,277.93","28,282.16","27,981.39",187.16M,-0.97%,28009.4,30.567435619513677,70,30,50,,,,,0.0032379841079035465
25,06/10/2016,"28,026.59","28,009.40","28,065.18","27,936.56",348.80M,0.06%,28026.59,31.284153215459593,70,30,50,,,,,0.0039021892294994753
26,07/10/2016,"27,835.22","28,031.90","28,043.08","27,812.39",200.84M,-0.68%,27835.22,27.741922198953993,70,30,50,,,,,-0.0002529042973041795
27,10/10/2016,"27,925.35","27,835.22","27,953.31","27,808.88",171.46M,0.32%,27925.35,31.783886334492976,70,30,50,,,,,-0.006152944832578888
28,11/10/2016,"28,034.32","27,925.00","28,060.76","27,901.45",234.19M,0.39%,28034.32,36.55171876772735,70,30,50,,,,,0.00022437800621655235
29,12/10/2016,"28,027.23","28,034.32","28,058.03","27,921.68",155.58M,-0.03%,28027.23,36.36795930296402,70,30,50,,,,,-0.008113124317370768
30,13/10/2016,"27,854.78","28,027.23","28,030.72","27,803.76",380.75M,-0.62%,27854.78,32.017776242276874,70,30,50,,,,,-0.0028833012061882934
31,14/10/2016,"27,861.03","27,854.78","28,264.33","27,821.27",220.85M,0.02%,27861.03,32.34366649284402,70,30,50,,,,,-0.0028041782146526195
32,17/10/2016,"27,634.99","27,861.03","27,867.50","27,631.05",255.81M,-0.81%,27634.99,27.119465280772566,70,30,50,,,,,0.004378041519700782
33,18/10/2016,"27,555.31","27,634.99","27,678.20","27,555.31",154.11M,-0.29%,27555.31,25.505878073564325,70,30,50,,,,,-5.507577629670912e-05
34,19/10/2016,"27,478.04","27,555.31","27,557.14","27,460.67",75.01M,-0.28%,27478.04,23.969196535413225,70,30,50,,,,,-0.0007895837274004558
35,20/10/2016,"27,598.34","27,478.04","27,720.30","27,478.04",111.90M,0.44%,27598.34,31.145310455563695,70,30,50,,,,,-0.017280488906086355
36,21/10/2016,"27,596.82","27,598.34","27,627.63","27,573.06",70.94M,-0.01%,27596.82,31.104095695577154,70,30,50,,,,,0.0008070551454470998
37,24/10/2016,"27,575.03","27,596.82","27,630.83","27,567.48",101.18M,-0.08%,27575.03,30.46201462578471,70,30,50,,,,,0.004291604951108807
38,25/10/2016,"27,098.52","27,575.07","27,588.24","27,093.23",112.43M,-1.73%,27098.52,20.28657320381684,70,30,50,,,,,0.0021085458706939786
39,26/10/2016,"27,120.39","27,098.52","27,121.77","27,007.21",159.99M,0.08%,27120.39,21.62170670396913,70,30,50,,,,,-0.002715594259734888
